,Chapter number in book,Chapter name,POV,Location,Storyline,Storyline2,In show yet?
A Dance with Dragons,37,The Prince of Winterfell,Theon,,,,1
A Dance with Dragons,38,The Watcher,Areo,,,,1
A Dance with Dragons,39,Jon VIII,,,,,1
A Dance with Dragons,40,Tyrion IX,,,,,1
A Dance with Dragons,41,The Turncloak,Theon,,,,1
A Dance with Dragons,42,The King's Prize,Asha,,,,1
A Dance with Dragons,43,Daenerys VII,,,Daenerys,,1
A Dance with Dragons,44,Jon IX,,North,night,stannis,1
A Dance with Dragons,45,The Blind Girl,Arya,,,,1
A Dance with Dragons,46,A Ghost in Winterfell,Theon,,,,1
A Dance with Dragons,47,Tyrion X,,,,,1
A Dance with Dragons,48,Jaime I,,,,,0
A Dance with Dragons,49,Jon X,,,,,1
A Dance with Dragons,50,Daenerys VIII,,,,,1
A Dance with Dragons,51,Theon I,Theon,,,,1
A Dance with Dragons,52,Daenerys IX,,,Daenerys,,1
A Dance with Dragons,53,Jon XI,,,,,1
A Dance with Dragons,54,Cersei I,,,,,1
A Dance with Dragons,55,The Queensguard,Barristan,,,,1
A Dance with Dragons,56,The Iron Suitor,Victarion,,,,0
A Dance with Dragons,57,Tyrion XI,,,,,1
A Dance with Dragons,58,Jon XII,,,,,1
A Dance with Dragons,59,The Discarded Knight,Barristan,,,,0
A Dance with Dragons,60,The Spurned Suitor,Quentyn,,,,0
A Dance with Dragons,61,The Griffin Reborn,JonCon,,,,0
A Dance with Dragons,62,The Sacrifice,Asha,,,,1
A Dance with Dragons,63,Victarion I,,,,,0
A Dance with Dragons,64,The Ugly Little Girl,Arya,,,,1
A Dance with Dragons,65,Cersei II,,,,,1
A Dance with Dragons,66,Tyrion XII,,,,,1
A Dance with Dragons,67,The Kingbreaker,Barristan,,,,0
A Dance with Dragons,68,The Dragontamer,Quentyn,,,,0
A Dance with Dragons,69,Jon XIII,,,,,1
A Dance with Dragons,70,The Queen's Hand,Barristan,,,,0
A Dance with Dragons,71,Daenerys X,Daenerys,,,,1
A Dance with Dragons,72,Epilogue,Kevan,,,,1
,,,,,,,
The Winds of Winter,0,Barristan I,,,,,0
The Winds of Winter,1,Tyrion I,,,,,0
The Winds of Winter,2,Alayne I,Sansa,,,,1
The Winds of Winter,3,Arianne I,,,,,0
The Winds of Winter,4,Theon I,Theon,,,,1
The Winds of Winter,5,Tyrion II,,,,,0
The Winds of Winter,6,Mercy,Arya,,Arya,,1
The Winds of Winter,7,Barristan II,,,,,0
The Winds of Winter,8,Victarion,,,,,0
The Winds of Winter,9,Arianne II,,,,,0
The Winds of Winter,10,Aeron,,,,,0
The Winds of Winter,11,?,,,,,1
The Winds of Winter,12,?,,,,,1
